names	ratings	season	year
Chaos;Child	2.8	winter	2017
Seiren	2.8	winter	2017
Minami Kamakura High School Girls Cycling Club	2.7	winter	2017
Sengoku Choujuu Giga: Otsu	2.6	winter	2017
Ai Mai Mii: Surgical Friends	2.4	winter	2017
My Hero Academia 3	4.6	spring	2018
Food Wars! The Third Plate: Totsuki Train Arc	4.5	spring	2018
Steins;Gate 0	4.5	spring	2018
Hinamatsuri	4.4	spring	2018
Hozuki's Coolheadedness 2nd Season: Part II	4.4	spring	2018
Wotakoi: Love is Hard for Otaku	4.4	spring	2018
Lupin III: Part V	4.3	spring	2018
Megalo Box	4.3	spring	2018
Golden Kamuy	4.2	spring	2018
Kakuriyo: Bed & Breakfast for Spirits	4.2	spring	2018
Legend of the Galactic Heroes: Die Neue These	4.1	spring	2018
Full Metal Panic! Invisible Victory	4.1	spring	2018
Major 2nd	4.1	spring	2018
Yotsuiro Biyori	4.1	spring	2018
High School DxD Hero	4	spring	2018
Future Card Buddyfight Ace	4	spring	2018
Tada Never Falls in Love	4	spring	2018
Forest of Piano	3.9	spring	2018
Sword Art Online Alternative: Gun Gale Online	3.9	spring	2018
Dragon Pilot: Hisone & Masotan	3.9	spring	2018
Amanchu! Advance	3.8	spring	2018
Comic Girls	3.8	spring	2018
Isekai Izakaya: Japanese Food From Another World	3.8	spring	2018
Captain Tsubasa (2018)	3.8	spring	2018
Future Card Buddyfight: All-Star Fight	3.8	spring	2018
Tokyo Ghoul:re	3.8	spring	2018
Ninja Girl & Samurai Master 3rd Season	3.7	spring	2018
Uma Musume: Pretty Derby	3.7	spring	2018
Meow Meow Japanese History 3rd Season	3.7	spring	2018
Devils' Line	3.6	spring	2018
Aikatsu Friends!	3.6	spring	2018
GeGeGe no Kitarou (2018)	3.6	spring	2018
Persona 5 the Animation	3.5	spring	2018
Lostorage Conflated WIXOSS	3.5	spring	2018
Real Girl	3.4	spring	2018
Gintama.: Shirogane no Tamashii-hen 2	4.6	summer	2018
Attack on Titan 3rd Season	4.5	summer	2018
Overlord III	4.5	summer	2018
Banana Fish	4.4	summer	2018
Grand Blue	4.3	summer	2018
Asobi Asobase	4.3	summer	2018
Cells at Work!	4.2	summer	2018
Free! Dive to the Future	4.2	summer	2018
Hi Score Girl	4.1	summer	2018
Ani ni Tsukeru Kusuri wa Nai! 2	4.1	summer	2018
Encouragement of Climb 3	4	summer	2018
Chio's School Road	4	summer	2018
How NOT to Summon a Demon Lord	3.9	summer	2018
BanG Dream! Girls Band Party! Pico	3.9	summer	2018
Revue Starlight	3.8	summer	2018
Planet With	3.8	summer	2018
Angolmois: Record of Mongol Invasion	3.7	summer	2018
Sirius the Jaeger	3.7	summer	2018
Yuuna and the Haunted Hot Springs	3.6	summer	2018
Angels of Death	3.5	summer	2018
Happy Sugar Life	3.5	summer	2018
Holmes of Kyoto	3.5	summer	2018
Hanebado!	3.4	summer	2018
Back Street Girls -GOKUDOLS-	3.4	summer	2018
Harukana Receive	3.4	summer	2018
Miss Caretaker of Sunohara-sou	3.3	summer	2018
Mr. Tonegawa: Middle Management Blues	3.3	summer	2018
Phantom in the Twilight	3.2	summer	2018
Oshiete Mahou no Pendulum: Rilu Rilu Fairilu	3.2	summer	2018
Muhyo & Roji's Bureau of Supernatural Investigation	3.1	summer	2018
We Rent Tsukumogami	3.1	summer	2018
The iDOLM@STER: Cinderella Girls Theater 3rd Season	3.1	summer	2018
Dropkick on My Devil!	2.9	summer	2018
Yamishibai: Japanese Ghost Stories 6th Season	2.9	summer	2018
Seven Senses of the Re'Union	2.8	summer	2018
JoJo's Bizarre Adventure: Golden Wind	4.5	fall	2018
That Time I Got Reincarnated as a Slime	4.5	fall	2018
Rascal Does Not Dream of Bunny Girl Senpai	4.5	fall	2018
Run with the Wind	4.4	fall	2018
Golden Kamuy 2nd Season	4.4	fall	2018
Fairy Tail: Final Season	4.4	fall	2018
Thunderbolt Fantasy: Sword Seekers 2	4.3	fall	2018
Goblin Slayer	4.2	fall	2018
Bloom Into You	4.2	fall	2018
Sword Art Online: Alicization	4.1	fall	2018
Tsurune	4.1	fall	2018
Hinomaru Sumo	4.1	fall	2018
DAKAICHI -I'm being harassed by the sexiest man of the year-	4.1	fall	2018
IRODUKU : The World in Colors	4	fall	2018
Zombieland Saga	4	fall	2018
Boarding School Juliet	3.9	fall	2018
Skull-face Bookseller Honda-san	3.8	fall	2018
Hora, Mimi ga Mieteru yo!	3.8	fall	2018
Inazuma Eleven: Orion no Kokuin	3.7	fall	2018
Ace Attorney Season 2	3.7	fall	2018
SSSS.Gridman	3.7	fall	2018
A Certain Magical Index III	3.7	fall	2018
As Miss Beelzebub Likes.	3.6	fall	2018
Tokyo Ghoul:re 2nd Season	3.6	fall	2018
Ms. Vampire who lives in my neighborhood.	3.5	fall	2018
Karakuri Circus	3.5	fall	2018
FLCL: Alternative	3.5	fall	2018
Gurazeni: Money Pitch 2nd Season	3.5	fall	2018
Radiant	3.5	fall	2018
Double Decker! Doug & Kirill	3.5	fall	2018
UzaMaid!	3.5	fall	2018
Anima Yell!	3.5	fall	2018
Release the Spyce	3.1	fall	2018
Pingu in the City (2018)	3.1	fall	2018
Hashiri Tsuzukete Yokattatte.	3	fall	2018
Gintama.: Shirogane no Tamashii-hen	4.6	winter	2018
The Disastrous Life of Saiki K. 2nd Season	4.5	winter	2018
Violet Evergarden	4.5	winter	2018
The Seven Deadly Sins: Revival of The Commandments	4.4	winter	2018
A Place Further Than the Universe	4.4	winter	2018
Overlord II	4.3	winter	2018
Laid-Back Camp	4.3	winter	2018
School Babysitters	4.3	winter	2018
Cardcaptor Sakura: Clear Card-hen	4.1	winter	2018
IDOLiSH7	4.1	winter	2018
Spiritpact: Bond of The Underworld	4.1	winter	2018
How to Keep a Mummy	4.1	winter	2018
Yowamushi Pedal: Glory Line	4.1	winter	2018
DARLING in the FRANXX	4	winter	2018
After the Rain	4	winter	2018
Teasing Master Takagi-san	4	winter	2018
Hakata Tonkotsu Ramens	4	winter	2018
Hakumei and Mikochi	3.9	winter	2018
Hugtto! Pretty Cure	3.8	winter	2018
Record of Grancrest War	3.8	winter	2018
Zoku Touken Ranbu: Hanamaru	3.8	winter	2018
Death March to the Parallel World Rhapsody	3.7	winter	2018
Mitsuboshi Colors	3.7	winter	2018
Kokkoku: Moment by Moment	3.7	winter	2018
Dagashi Kashi 2	3.5	winter	2018
Pop Team Epic	3.4	winter	2018
Slow Start	3.4	winter	2018
The Ryuo's Work is Never Done!	3.3	winter	2018
Citrus	3.3	winter	2018
The Silver Guardian II	3.2	winter	2018
Sanrio Boys	3.2	winter	2018
Killing Bites	3.2	winter	2018
Mitchiri Neko	3.1	winter	2018
Dame x Prince Anime Caravan	3.1	winter	2018
Katana Maidens: Toji no Miko	3	winter	2018
Attack on Titan 3rd Season: Part II	4.6	spring	2019
Demon Slayer: Kimetsu no Yaiba	4.6	spring	2019
Fruits Basket 1st Season	4.5	spring	2019
Bungou Stray Dogs 3rd Season	4.4	spring	2019
Ace of the Diamond: Act II	4.4	spring	2019
Carole & Tuesday	4.3	spring	2019
Mobile Suit Gundam: The Origin - Advent of the Red Comet	4.3	spring	2019
One-Punch Man 2	4.3	spring	2019
Kono Oto Tomare!	4.1	spring	2019
Isekai Quartet	4.1	spring	2019
Hitoribocchi no OO Seikatsu	4	spring	2019
We Never Learn	3.9	spring	2019
The Helpful Fox Senko-san	3.9	spring	2019
Sarazanmai	3.9	spring	2019
Kiratto Pri-chan 2nd Season	3.9	spring	2019
Senryu Girl	3.9	spring	2019
Wise Man’s Grandchild	3.9	spring	2019
Mix	3.8	spring	2019
I'm From Japan	3.7	spring	2019
Midnight occult civil servants	3.5	spring	2019
Aikatsu Friends! Kagayaki no Jewel	3.5	spring	2019
Ao-chan Can't Study!	3.4	spring	2019
Youkai Watch!	3.3	spring	2019
Cardfight!! Vanguard: Zoku Koukousei-hen	3.3	spring	2019
The iDOLM@STER: Cinderella Girls Theater Climax Season	3.2	spring	2019
Why the Hell are You Here, Teacher!?	3.2	spring	2019
RobiHachi	3	spring	2019
Beyblade: Burst Gachi	3	spring	2019
Million Arthur 2nd Season	3	spring	2019
Gunjou no Magmel	3	spring	2019
Neko no Niagho	3	spring	2019
YU-NO: A Girl Who Chants Love at the Bound of This World	2.9	spring	2019
Wacky TV Na Na Na: Exciting Caveland	2.8	spring	2019
Fairy gone	2.7	spring	2019
Bakumatsu: Crisis	2.7	spring	2019
Vinland Saga	4.6	summer	2019
Given	4.5	summer	2019
Dr. Stone	4.5	summer	2019
Teasing Master Takagi-san 2	4.4	summer	2019
Astra Lost in Space	4.3	summer	2019
Fire Force	4.3	summer	2019
Symphogear XV	4.2	summer	2019
Is It Wrong to Try to Pick Up Girls in a Dungeon? II	4.1	summer	2019
O Maidens in Your Savage Season	4.1	summer	2019
How Heavy Are the Dumbbells You Lift?	3.9	summer	2019
If It's for My Daughter, I'd Even Defeat a Demon Lord	3.9	summer	2019
The Demon Girl Next Door	3.9	summer	2019
A Certain Scientific Accelerator	3.9	summer	2019
Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note	3.8	summer	2019
Wasteful Days of High School Girls	3.8	summer	2019
Arifureta: From Commonplace to World's Strongest	3.8	summer	2019
Demon Lord, Retry!	3.6	summer	2019
Cop Craft	3.6	summer	2019
STARMYU 3	3.5	summer	2019
The Ones Within	3.4	summer	2019
Hensuki: Are you willing to fall in love with a pervert, as long as she’s a cutie?	3.4	summer	2019
Are You Lost?	3.3	summer	2019
Kochoki	3.2	summer	2019
To the Abandoned Sacred Beasts	3.1	summer	2019
Magical Sempai	3	summer	2019
Ensemble Stars!	3	summer	2019
Granbelm	2.9	summer	2019
Re:Stage! Dream Days♪	2.8	summer	2019
Bem	2.8	summer	2019
Yamishibai: Japanese Ghost Stories 7th Season	2.7	summer	2019
Isekai Cheat Magician	2.7	summer	2019
Yubisaki kara no Honki no Netsujou: Osananajimi wa Shouboushi	2.5	summer	2019
Waresho! Warera! Shoudoubutsu Aigo Iinkai	2.4	summer	2019
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?	2.2	summer	2019
Try Knights	1.8	summer	2019
My Hero Academia 4	4.5	fall	2019
Chihayafuru 3	4.5	fall	2019
Kono Oto Tomare! 2nd Season	4.5	fall	2019
Ascendance of a Bookworm	4.4	fall	2019
Beastars	4.4	fall	2019
Food Wars! The Fourth Plate	4.3	fall	2019
Hi Score Girl II	4.3	fall	2019
Sword Art Online: Alicization - War of Underworld	4.3	fall	2019
Welcome to Demon School, Iruma-kun	4.2	fall	2019
Stars Align	4.2	fall	2019
Radiant 2nd Season	4.2	fall	2019
Psycho-Pass 3	4.1	fall	2019
Fate/Grand Order: Absolute Demonic Front - Babylonia	4.1	fall	2019
Cautious Hero: The Hero Is Overpowered but Overly Cautious	4.1	fall	2019
We Never Learn!	4.1	fall	2019
Pokemon Journeys	4	fall	2019
Ahiru no Sora	4	fall	2019
ORESUKI: Are you the only one who loves me?	4	fall	2019
Blade of the Immortal (2019)	3.9	fall	2019
The Seven Deadly Sins: Wrath of the Gods	3.8	fall	2019
Didn't I Say to Make My Abilities Average in the Next Life?!	3.7	fall	2019
No Guns Life	3.6	fall	2019
Kemono Michi: Rise Up	3.5	fall	2019
High School Prodigies Have It Easy Even in Another World!	3.5	fall	2019
Granblue Fantasy The Animation Season 2	3.4	fall	2019
Babylon	3.4	fall	2019
Fairy gone Part II	3.3	fall	2019
After School Dice Club	3.3	fall	2019
Aikatsu on Parade!	3.3	fall	2019
Zoids Wild Zero	3.2	fall	2019
Case File nº221: Kabukicho	3.2	fall	2019
Bananya and the Curious Bunch	3.2	fall	2019
Outburst Dreamer Boys	3.2	fall	2019
True Cooking Master Boy	3	fall	2019
Assassins Pride	2.9	fall	2019
Mob Psycho 100 II	4.6	winter	2019
The Promised Neverland	4.6	winter	2019
The Rising of the Shield Hero	4.5	winter	2019
Dororo (2019)	4.5	winter	2019
Kaguya-sama: Love Is War	4.5	winter	2019
My Roommate is a Cat	4.3	winter	2019
The Morose Mononokean II	4.2	winter	2019
Real Girl 2nd Season	4.2	winter	2019
The Quintessential Quintuplets	4.1	winter	2019
Kakegurui XX	4.1	winter	2019
Forest of Piano 2nd Season	4	winter	2019
Date a Live III	3.9	winter	2019
BanG Dream! 2nd Season	3.8	winter	2019
Meiji Tokyo Renka	3.7	winter	2019
Domestic Girlfriend	3.7	winter	2019
WATATEN! an Angel Flew Down to Me	3.7	winter	2019
B-PROJECT: Zecchou Emotion	3.6	winter	2019
Star Twinkle Pretty Cure	3.6	winter	2019
Boogiepop and Others	3.4	winter	2019
Endro~!	3.3	winter	2019
The Magnificent KOTOBUKI	3.2	winter	2019
Mysteria Friends	3.1	winter	2019
How Clumsy you are, Miss Ueno	3.1	winter	2019
Kemurikusa	2.9	winter	2019
Magical Girl Spec-Ops Asuka	2.8	winter	2019
Girly Air Force	2.7	winter	2019
revisions	2.7	winter	2019
Papa Datte, Shitai	2.5	winter	2019
Kemono Friends 2	2.4	winter	2019
The Price of Smiles	2.4	winter	2019
Katana Maidens: Mini Toji	2.3	winter	2019
Grimms Notes the Animation	2.3	winter	2019
Circlet Princess	2.2	winter	2019
Mannaka no Rikkun	2.2	winter	2019
Rinshi!! Ekoda-chan	2	winter	2019
Kaguya-sama: Love Is War?	4.6	spring	2020
Fruits Basket 2nd Season	4.6	spring	2020
Ascendance of a Bookworm: Part II	4.5	spring	2020
Kingdom 3	4.5	spring	2020
Major 2nd: Second Season	4.4	spring	2020
Tower of God	4.4	spring	2020
The Millionaire Detective - Balance:Unlimited	4.3	spring	2020
IDOLiSH7: Second BEAT!	4.3	spring	2020
Brand New Animal	4.3	spring	2020
Kakushigoto	4.3	spring	2020
My Next Life as a Villainess: All Routes Lead to Doom!	4.2	spring	2020
Food Wars! The Fifth Plate	4.2	spring	2020
Kiratto Pri-chan 3rd Season	4.2	spring	2020
Tsugumomo 2	4	spring	2020
Arte	4	spring	2020
Appare-Ranman!	3.9	spring	2020
Wave, Listen to Me!	3.9	spring	2020
Cardfight!! Vanguard Gaiden: if	3.9	spring	2020
Gleipnir	3.8	spring	2020
"Sing ""Yesterday"" for Me"	3.8	spring	2020
Diary of Our Days at the Breakwater	3.8	spring	2020
Dropkick on My Devil!! Dash	3.7	spring	2020
Digimon Adventure:	3.7	spring	2020
Beyblade: Burst Super King	3.6	spring	2020
Princess Connect! Re: Dive	3.4	spring	2020
The 8th Son? Are You Kidding Me?	3.4	spring	2020
Argonavis from BanG Dream! Animation	3.2	spring	2020
Extra Olympia Kyklos	3.2	spring	2020
Komatta Jii-san	3	spring	2020
Woodpecker Detective's Office	2.8	spring	2020
TAMAYOMI: The Baseball Girls	2.5	spring	2020
Yu-Gi-Oh! Sevens	2.5	spring	2020
Listeners	2.3	spring	2020
Watanuki-san Chi to	2.3	spring	2020
Bungo and Alchemist: Gears of Judgement	2.3	spring	2020
Re:ZERO -Starting Life in Another World- Season 2	4.5	summer	2020
Fire Force 2nd Season	4.4	summer	2020
My Teen Romantic Comedy SNAFU Climax	4.4	summer	2020
Sword Art Online: Alicization - War of Underworld: Part II	4.3	summer	2020
The God of High School	4.3	summer	2020
The Misfit of Demon King Academy	4.3	summer	2020
Deca-Dence	4	summer	2020
Rent-A-Girlfriend	3.9	summer	2020
Uzaki-chan Wants to Hang Out!	3.9	summer	2020
No Guns Life 2nd Season	3.8	summer	2020
Mr. Love: Queen's Choice	3.5	summer	2020
Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season	3.4	summer	2020
Monster Girl Doctor	3.2	summer	2020
Lapis Re:LiGHTs	2.9	summer	2020
Super HxEros	2.6	summer	2020
Umayon	2.5	summer	2020
Peter Grill and the Philosopher's Time	2.3	summer	2020
The Titan's Bride	2.3	summer	2020
Obake Zukan	1.9	summer	2020
Gibiate	1.7	summer	2020
Chou Futsuu Toshi Kashiwa Densetsu R	1.7	summer	2020
Ninja Collection	1.4	summer	2020
By the Grace of the Gods	4.1	fall	2020
Haikyuu!! To the Top	4.6	winter	2020
Keep Your Hands Off Eizouken!	4.4	winter	2020
Dorohedoro	4.4	winter	2020
A Certain Scientific Railgun T	4.4	winter	2020
Somali and the Forest Spirit	4.3	winter	2020
Toilet-Bound Hanako-kun	4.3	winter	2020
BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.	4.3	winter	2020
ID:INVADED	4.2	winter	2020
Interspecies Reviewers	4.1	winter	2020
Darwin's Game	4.1	winter	2020
BanG Dream! 3rd Season	4.1	winter	2020
Isekai Quartet 2	4.1	winter	2020
Smile Down the Runway	4.1	winter	2020
If My Favorite Pop Idol Made it to the Budokan, I Would Die	3.8	winter	2020
The case files of Jeweler Richard	3.8	winter	2020
In/Spectre	3.8	winter	2020
Seton Academy: Join the Pack!	3.7	winter	2020
A3! Season Spring & Summer	3.7	winter	2020
Healin' Good Pretty Cure	3.7	winter	2020
Room Camp	3.6	winter	2020
Show By Rock!! Mashumairesh!!	3.5	winter	2020
Magia Record: Puella Magi Madoka Magica Side Story	3.4	winter	2020
NEKOPARA TV	3.4	winter	2020
Asteroid in Love	3.4	winter	2020
number24	3.3	winter	2020
Plunderer	3.2	winter	2020
Uchitama?! Have you seen my Tama?	3.1	winter	2020
Infinite Dendrogram	3.1	winter	2020
22/7	3.1	winter	2020
Oda Shinamon Nobunaga	3	winter	2020
Pet	2.9	winter	2020
A Destructive God Sits Next to Me	2.8	winter	2020
Yatogame-chan Kansatsu Nikki 2nd Season	2.7	winter	2020
Breakers	2.5	winter	2020
Sorcerous Stabber Orphen	2.5	winter	2020
